Date,Open,High,Low,Close,Adj Close,Volume,Industry
5/12/2016,92.720001,92.779999,89.470001,90.339996,87.285637,76314700,IT
5/13/2016,90,91.669998,90,90.519997,87.459572,44392800,IT
5/16/2016,92.389999,94.389999,91.650002,93.879997,90.705963,61259800,IT
5/17/2016,94.550003,94.699997,93.010002,93.489998,90.329147,46916900,IT
5/18/2016,94.160004,95.209999,93.889999,94.559998,91.362984,42062400,IT
5/19/2016,94.639999,94.639999,93.57,94.199997,91.015144,30442100,IT
5/20/2016,94.639999,95.43,94.519997,95.220001,92.000664,32026000,IT
5/23/2016,95.870003,97.190002,95.669998,96.43,93.169746,38018600,IT
5/24/2016,97.220001,98.089996,96.839996,97.900002,94.590057,35140200,IT
5/25/2016,98.669998,99.739998,98.110001,99.620003,96.251907,38168800,IT
5/26/2016,99.68,100.730003,98.639999,100.410004,97.01519,56331200,IT
5/27/2016,99.440002,100.470001,99.25,100.349998,96.957214,36229500,IT
5/31/2016,99.599998,100.400002,98.82,99.860001,96.48378,42307200,IT
6/1/2016,99.019997,99.540001,98.330002,98.459999,95.131126,29173300,IT
6/2/2016,97.599998,97.839996,96.629997,97.720001,94.416138,40191600,IT
6/3/2016,97.790001,98.269997,97.449997,97.919998,94.609375,28062900,IT
6/6/2016,97.989998,101.889999,97.550003,98.629997,95.295364,23292500,IT
6/7/2016,99.25,99.870003,98.959999,99.029999,95.681847,22409500,IT
6/8/2016,99.019997,99.559998,98.68,98.940002,95.594902,20848100,IT
6/9/2016,98.5,99.989998,98.459999,99.650002,96.280899,26601400,IT
6/10/2016,98.529999,99.349998,98.480003,98.830002,95.488617,31712900,IT
6/13/2016,98.690002,99.120003,97.099998,97.339996,94.048996,38020500,IT
6/14/2016,97.32,98.480003,96.75,97.459999,94.164932,31931900,IT
6/15/2016,97.82,98.410004,97.029999,97.139999,93.855766,29445200,IT
6/16/2016,96.449997,97.75,96.07,97.550003,94.251892,31326800,IT
6/17/2016,96.620003,96.650002,95.300003,95.330002,92.106941,61008200,IT
6/20/2016,96,96.57,95.029999,95.099998,91.88472,34411900,IT
6/21/2016,94.940002,96.349998,94.68,95.910004,92.667336,35546400,IT
6/22/2016,96.25,96.889999,95.349998,95.550003,92.319504,29219100,IT
6/23/2016,95.940002,96.290001,95.25,96.099998,92.850914,32240200,IT
6/24/2016,92.910004,94.660004,92.650002,93.400002,90.242188,75311400,IT
6/27/2016,93,93.050003,91.5,92.040001,88.928177,45489600,IT
6/28/2016,92.900002,93.660004,92.139999,93.589996,90.425781,40444900,IT
6/29/2016,93.970001,94.550003,93.629997,94.400002,91.208397,36531000,IT
6/30/2016,94.440002,95.769997,94.300003,95.599998,92.367805,35836400,IT
7/1/2016,95.489998,96.470001,95.330002,95.889999,92.64801,26026500,IT
7/5/2016,95.389999,95.400002,94.459999,94.989998,91.778442,27705200,IT
7/6/2016,94.599998,95.660004,94.370003,95.529999,92.300171,30949100,IT
7/7/2016,95.699997,96.5,95.620003,95.940002,92.696312,25139600,IT
7/8/2016,96.489998,96.889999,96.050003,96.68,93.411301,28912100,IT
7/11/2016,96.75,97.650002,96.730003,96.980003,93.701157,23794900,IT
7/12/2016,97.169998,97.699997,97.120003,97.419998,94.126282,24167500,IT
7/13/2016,97.410004,97.669998,96.839996,96.870003,93.594872,25892200,IT
7/14/2016,97.389999,98.989998,97.32,98.790001,95.449966,38919000,IT
7/15/2016,98.919998,99.300003,98.5,98.779999,95.4403,30137000,IT
7/18/2016,98.699997,100.129997,98.599998,99.830002,96.454803,36493900,IT
7/19/2016,99.559998,100,99.339996,99.870003,96.493454,23779900,IT
7/20/2016,100,100.459999,99.739998,99.959999,96.580414,26276000,IT
7/21/2016,99.830002,101,99.129997,99.43,96.068329,32702000,IT
7/22/2016,99.260002,99.300003,98.309998,98.660004,95.324364,28313700,IT
7/25/2016,98.25,98.839996,96.919998,97.339996,94.048996,40382900,IT
7/26/2016,96.82,97.970001,96.419998,96.669998,93.401634,56239800,IT
7/27/2016,104.269997,104.349998,102.75,102.949997,99.469307,92344800,IT
7/28/2016,102.830002,104.449997,102.82,104.339996,100.812317,39869800,IT
7/29/2016,104.190002,104.550003,103.68,104.209999,100.686714,27733700,IT
8/1/2016,104.410004,106.150002,104.410004,106.050003,102.464508,38167900,IT
8/2/2016,106.050003,106.07,104,104.480003,100.947594,33816600,IT
8/3/2016,104.809998,105.839996,104.769997,105.790001,102.213295,30202600,IT
8/4/2016,105.580002,106,105.279999,105.870003,102.844727,27408700,IT
8/5/2016,106.269997,107.650002,106.18,107.480003,104.408714,40553400,IT
8/8/2016,107.519997,108.370003,107.160004,108.370003,105.273285,28037200,IT
8/9/2016,108.230003,108.940002,108.010002,108.809998,105.700714,26315200,IT
8/10/2016,108.709999,108.900002,107.760002,108,104.913849,24008500,IT
8/11/2016,108.519997,108.93,107.849998,107.93,104.845863,27484500,IT
8/12/2016,107.779999,108.440002,107.779999,108.18,105.088715,18660400,IT
8/15/2016,108.139999,109.540001,108.080002,109.480003,106.35157,25868200,IT
8/16/2016,109.629997,110.230003,109.209999,109.379997,106.254425,33794400,IT
8/17/2016,109.099998,109.370003,108.339996,109.220001,106.098991,25356000,IT
8/18/2016,109.230003,109.599998,109.019997,109.080002,105.962997,21984700,IT
8/19/2016,108.769997,109.690002,108.360001,109.360001,106.234985,25368100,IT
8/22/2016,108.860001,109.099998,107.849998,108.510002,105.409286,25820200,IT
8/23/2016,108.589996,109.32,108.529999,108.849998,105.739555,21257700,IT
8/24/2016,108.57,108.75,107.68,108.029999,104.943001,23675100,IT
8/25/2016,107.389999,107.879997,106.68,107.57,104.496147,25086200,IT
8/26/2016,107.410004,107.949997,106.309998,106.940002,103.88414,27766300,IT
8/29/2016,106.620003,107.440002,106.290001,106.82,103.767578,24970300,IT
8/30/2016,105.800003,106.5,105.5,106,102.971016,24863900,IT
8/31/2016,105.660004,106.57,105.639999,106.099998,103.068153,29662400,IT
9/1/2016,106.139999,106.800003,105.620003,106.730003,103.680153,26701500,IT
9/2/2016,107.699997,108,106.82,107.730003,104.651573,26802500,IT
9/6/2016,107.900002,108.300003,107.510002,107.699997,104.622429,26880400,IT
9/7/2016,107.830002,108.760002,107.07,108.360001,105.263565,42364300,IT
9/8/2016,107.25,107.269997,105.239998,105.519997,102.504723,53002000,IT
9/9/2016,104.639999,105.720001,103.129997,103.129997,100.183022,46557000,IT
9/12/2016,102.650002,105.720001,102.529999,105.440002,102.42701,45292800,IT
9/13/2016,107.510002,108.790001,107.239998,107.949997,104.865273,62176200,IT
9/14/2016,108.730003,113.029999,108.599998,111.769997,108.576126,110888700,IT
9/15/2016,113.860001,115.730003,113.489998,115.57,112.26754,89983600,IT
9/16/2016,115.120003,116.129997,114.040001,114.919998,111.636124,79886900,IT
9/19/2016,115.190002,116.18,113.25,113.580002,110.334419,47023000,IT
9/20/2016,113.050003,114.120003,112.510002,113.57,110.324692,34514300,IT
9/21/2016,113.849998,113.989998,112.440002,113.550003,110.305275,36003200,IT
9/22/2016,114.349998,114.940002,114,114.620003,111.344696,31074000,IT
9/23/2016,114.419998,114.790001,111.550003,112.709999,109.489258,52481200,IT
9/26/2016,111.639999,113.389999,111.550003,112.879997,109.654411,29869400,IT
9/27/2016,113,113.18,112.339996,113.089996,109.858406,24607400,IT
9/28/2016,113.690002,114.639999,113.43,113.949997,110.69384,29641100,IT
9/29/2016,113.160004,113.800003,111.800003,112.18,108.974403,35887000,IT
9/30/2016,112.459999,113.370003,111.800003,113.050003,109.81955,36379100,IT
10/3/2016,112.709999,113.050003,112.279999,112.519997,109.304688,21701800,IT
10/4/2016,113.059998,114.309998,112.629997,113,109.770973,29736800,IT
10/5/2016,113.400002,113.660004,112.690002,113.050003,109.81955,21453100,IT
10/6/2016,113.699997,114.339996,113.129997,113.889999,110.635551,28779300,IT
10/7/2016,114.309998,114.559998,113.510002,114.059998,110.800682,24358400,IT
10/10/2016,115.019997,116.75,114.720001,116.050003,112.733818,36236000,IT
10/11/2016,117.699997,118.690002,116.199997,116.300003,112.976685,64041000,IT
10/12/2016,117.349998,117.980003,116.75,117.339996,113.986969,37586800,IT
10/13/2016,116.790001,117.440002,115.720001,116.980003,113.637253,35192400,IT
10/14/2016,117.879997,118.169998,117.129997,117.629997,114.268661,35652200,IT
10/17/2016,117.330002,117.839996,116.779999,117.550003,114.190964,23624900,IT
10/18/2016,118.18,118.209999,117.449997,117.470001,114.113251,24553500,IT
10/19/2016,117.25,117.760002,113.800003,117.120003,113.773247,20034600,IT
10/20/2016,116.860001,117.379997,116.330002,117.059998,113.714958,24125800,IT
10/21/2016,116.809998,116.910004,116.279999,116.599998,113.268097,23192700,IT
10/24/2016,117.099998,117.739998,117,117.650002,114.288109,23538700,IT
10/25/2016,117.949997,118.360001,117.309998,118.25,114.870956,48129000,IT
10/26/2016,114.309998,115.699997,113.309998,115.589996,112.286957,66134200,IT
10/27/2016,115.389999,115.860001,114.099998,114.480003,111.208687,34562000,IT
10/28/2016,113.870003,115.209999,113.449997,113.720001,110.470398,37861700,IT
10/31/2016,113.650002,114.230003,113.199997,113.540001,110.29554,26419400,IT
11/1/2016,113.459999,113.769997,110.529999,111.489998,108.304131,43825800,IT
11/2/2016,111.400002,112.349998,111.230003,111.589996,108.401276,28331700,IT
11/3/2016,110.980003,111.459999,109.550003,109.830002,107.239349,26932600,IT
11/4/2016,108.529999,110.25,108.110001,108.839996,106.272697,30837000,IT
11/7/2016,110.080002,110.510002,109.459999,110.410004,107.805664,32560000,IT
11/8/2016,110.309998,111.720001,109.699997,111.059998,108.440315,24054500,IT
11/9/2016,109.879997,111.32,108.050003,110.879997,108.264572,59176400,IT
11/10/2016,111.089996,111.089996,105.830002,107.790001,105.247467,57134500,IT
11/11/2016,107.120003,108.870003,106.550003,108.43,105.872368,34094100,IT
11/14/2016,107.709999,107.809998,104.080002,105.709999,103.216522,51175500,IT
11/15/2016,106.57,107.68,106.160004,107.110001,104.583504,32264500,IT
11/16/2016,106.699997,110.230003,106.599998,109.989998,107.395561,58840500,IT
11/17/2016,109.809998,110.349998,108.830002,109.949997,107.356506,27632000,IT
11/18/2016,109.720001,110.540001,109.660004,110.059998,107.463921,28428900,IT
11/21/2016,110.120003,111.989998,110.010002,111.730003,109.094528,29264600,IT
11/22/2016,111.949997,112.419998,111.400002,111.800003,109.162872,25965500,IT
11/23/2016,111.360001,111.510002,110.330002,111.230003,108.606323,27426400,IT
11/25/2016,111.129997,111.870003,110.949997,111.790001,109.153107,11475900,IT
11/28/2016,111.43,112.470001,111.389999,111.57,108.938301,27194000,IT
11/29/2016,110.779999,112.029999,110.07,111.459999,108.830894,28528800,IT
11/30/2016,111.599998,112.199997,110.269997,110.519997,107.913071,36162300,IT
12/1/2016,110.370003,110.940002,109.029999,109.489998,106.907356,37086900,IT
12/2/2016,109.169998,110.089996,108.849998,109.900002,107.307686,26528000,IT
12/5/2016,110,110.029999,108.25,109.110001,106.536316,34324500,IT
12/6/2016,109.5,110.360001,109.190002,109.949997,107.356506,26195500,IT
12/7/2016,109.260002,111.190002,109.160004,111.029999,108.411034,29998700,IT
12/8/2016,110.860001,112.43,110.599998,112.120003,109.475334,27068300,IT
12/9/2016,112.309998,114.699997,112.309998,113.949997,111.262154,34402600,IT
12/12/2016,113.290001,115,112.489998,113.300003,110.627495,26374400,IT
12/13/2016,113.839996,115.919998,113.75,115.190002,112.472916,43733800,IT
12/14/2016,115.040001,116.199997,114.980003,115.190002,112.472916,34031800,IT
12/15/2016,115.379997,116.730003,115.230003,115.82,113.088043,46524500,IT
12/16/2016,116.470001,116.5,115.650002,115.970001,113.234512,44351100,IT
12/19/2016,115.800003,117.379997,115.75,116.639999,113.88871,27779400,IT
12/20/2016,116.739998,117.5,116.68,116.949997,114.191406,21425000,IT
12/21/2016,116.800003,117.400002,116.779999,117.059998,114.298805,23783200,IT
12/22/2016,116.349998,116.510002,115.639999,116.290001,113.546967,26085900,IT
12/23/2016,115.589996,116.519997,115.589996,116.519997,113.77153,14181200,IT
12/27/2016,116.519997,117.800003,116.489998,117.260002,114.494087,18296900,IT
12/28/2016,117.519997,118.019997,116.199997,116.760002,114.005882,20905900,IT
12/29/2016,116.449997,117.110001,116.400002,116.730003,113.976585,15039500,IT
12/30/2016,116.650002,117.199997,115.43,115.82,113.088043,30586300,IT
1/3/2017,115.800003,116.330002,114.760002,116.150002,113.410263,28781900,IT
1/4/2017,115.849998,116.510002,115.75,116.019997,113.283333,21118100,IT
1/5/2017,115.919998,116.860001,115.809998,116.610001,113.859421,22193600,IT
1/6/2017,116.779999,118.160004,116.470001,117.910004,115.128761,31751900,IT
1/9/2017,117.949997,119.43,117.940002,118.989998,116.183273,33561900,IT
1/10/2017,118.769997,119.379997,118.300003,119.110001,116.300438,24462100,IT
1/11/2017,118.739998,119.93,118.599998,119.75,116.925346,27588600,IT
1/12/2017,118.900002,119.300003,118.209999,119.25,116.437141,27086200,IT
1/13/2017,119.110001,119.620003,118.809998,119.040001,116.232101,26111900,IT
1/17/2017,118.339996,120.239998,118.220001,120,117.169449,34439800,IT
1/18/2017,120,120.5,119.709999,119.989998,117.159683,23713000,IT
1/19/2017,119.400002,120.089996,119.370003,119.779999,116.954636,25597300,IT
1/20/2017,120.449997,120.449997,119.730003,120,117.169449,32597900,IT
1/23/2017,120,120.809998,119.769997,120.080002,117.247566,22050200,IT
1/24/2017,119.550003,120.099998,119.5,119.970001,117.14016,23211000,IT
1/25/2017,120.419998,122.099998,120.279999,121.879997,119.005104,32377600,IT
1/26/2017,121.669998,122.440002,121.599998,121.940002,119.063698,26337600,IT
1/27/2017,122.139999,122.349998,121.599998,121.949997,119.073456,20562900,IT
1/30/2017,120.93,121.629997,120.660004,121.629997,118.761009,30377500,IT
1/31/2017,121.150002,121.389999,120.620003,121.349998,118.487602,49201000,IT
2/1/2017,127.029999,130.490005,127.010002,128.75,125.713051,111985000,IT
2/2/2017,127.980003,129.389999,127.779999,128.529999,125.498253,33710400,IT
2/3/2017,128.309998,129.190002,128.160004,129.080002,126.035263,24507300,IT
